domain, CDN_PROVIDER
akamai.net,Akamai
akamaized.net,Akamai
akamaiedge.net,Akamai
akamaihd.net,Akamai
edgesuite.net,Akamai
edgekey.net,Akamai
srip.net,Akamai
akamaitechnologies.com,Akamai
akamaitechnologies.fr,Akamai
tl88.net,Akamai_China_CDN
llnwd.net,Limelight
edgecastcdn.net,Edgecast
systemcdn.net,Edgecast
transactcdn.net,Edgecast
v1cdn.net,Edgecast
v2cdn.net,Edgecast
v3cdn.net,Edgecast
v4cdn.net,Edgecast
v5cdn.net,Edgecast
hwcdn.net,Highwinds
simplecdn.net,Simple_CDN
instacontent.net,Mirror_Image
footprint.net,Level_3
fpbns.net,Level_3
ay1.b.yahoo.com,Yahoo
yimg.,Yahoo
yahooapis.com,Yahoo
google.,Google
googlesyndication.,Google
youtube.,Google
googleusercontent.com,Google
googlehosted.com,Google
gstatic.com,Google
doubleclick.net,Google
insnw.net,Instart_Logic
inscname.net,Instart_Logic
internapcdn.net,Internap
cloudfront.net,Amazon_CloudFront
netdna-cdn.com,NetDNA
netdna-ssl.com,NetDNA
netdna.com,NetDNA
kxcdn.com,KeyCDN
cotcdn.net,Cotendo_CDN
cachefly.net,Cachefly
bo.lt,BO.LT
cloudflare.com,Cloudflare
afxcdn.net,afxcdn.net
lxdns.com,ChinaNetCenter
wscdns.com,ChinaNetCenter
wscloudcdn.com,ChinaNetCenter
ourwebpic.com,ChinaNetCenter
att-dsa.net,AT&T
vo.msecnd.net,Microsoft_Azure
azureedge.net,Microsoft_Azure
azure.microsoft.com,Microsoft_Azure
voxcdn.net,VoxCDN
bluehatnetwork.com,Blue_Hat_Network
swiftcdn1.com,SwiftCDN
cdngc.net,CDNetworks
gccdn.net,CDNetworks
panthercdn.com,CDNetworks
fastly.net,Fastly
fastlylb.net,Fastly
nocookie.net,Fastly
gslb.taobao.com,Taobao
gslb.tbcache.com,Alimama
mirror-image.net,Mirror_Image
yottaa.net,Yottaa
cubecdn.net,cubeCDN
cdn77.net,CDN77
cdn77.org,CDN77
incapdns.net,Incapsula
bitgravity.com,BitGravity
r.worldcdn.net,OnApp
r.worldssl.net,OnApp
tbcdn.cn,Taobao
taobaocdn.com,Taobao
ngenix.net,NGENIX
pagerain.net,PageRain
ccgslb.com,ChinaCache
cdn.sfr.net,SFR
azioncdn.net,Azion
azioncdn.com,Azion
azion.net,Azion
cdncloud.net.au,MediaCloud
rncdn1.com,Reflected_Networks
rncdn7.com,Reflected_Networks
cdnsun.net,CDNsun
mncdn.com,Medianova
mncdn.net,Medianova
mncdn.org,Medianova
cdn.jsdelivr.net,jsDelivr
nyiftw.net,NYI_FTW
nyiftw.com,NYI_FTW
resrc.it,ReSRC.it
zenedge.net,Zenedge
lswcdn.net,LeaseWeb_CDN
lswcdn.eu,LeaseWeb_CDN
revcn.net,Rev_Software
revdn.net,Rev_Software
caspowa.com,Caspowa
twimg.com,Twitter
facebook.com,Facebook
facebook.net,Facebook
fbcdn.net,Facebook
cdninstagram.com,Facebook
rlcdn.com,Reapleaf
wp.com,WordPress
aads1.net,Aryaka
aads-cn.net,Aryaka
aads-cng.net,Aryaka
squixa.net,section.io
bisongrid.net,Bison_Grid
cdn.gocache.net,GoCache
hiberniacdn.com,HiberniaCDN
cdntel.net,Telenor
raxcdn.com,Rackspace
unicorncdn.net,UnicornCDN
optimalcdn.com,Optimal_CDN
kinxcdn.com,KINX_CDN
kinxcdn.net,KINX_CDN
stackpathdns.com,StackPath
hosting4cdn.com,Hosting4CDN
netlify.com,Netlify
b-cdn.net,BunnyCDN
pix-cdn.org,Advanced_Hosters_CDN
roast.io,Roast.io
cdnvideo.ru,CDNvideo
cdnvideo.net,CDNvideo
trbcdn.ru,TRBCDN
cedexis.net,Cedexis
streamprovider.net,Rocket_CDN